Order_ID,Customer_ID,Date,Product_Category,Unit_Price,Quantity,Discount_Pct,Total_Amount,Delivery_Time_Days,Customer_Rating,Is_Weekend
ORD_000001,CUST_00194,2024-01-01,Electronics,846.05,2,0,1692.11,9,3,0
ORD_000002,CUST_00161,2024-01-01,Electronics,684.34,1,0,684.34,4,5,0
ORD_000003,CUST_00195,2024-01-01,Electronics,837.83,1,0,837.83,3,4,0
ORD_000004,CUST_00022,2024-01-01,Electronics,738.56,3,0,2215.67,3,5,0
ORD_000005,CUST_00226,2024-01-01,Electronics,764.02,1,0,764.02,1,5,0
ORD_000006,CUST_00147,2024-01-01,Electronics,817.28,2,0,1634.56,1,5,0
ORD_000007,CUST_00046,2024-01-01,Electronics,899.57,1,0,899.57,9,3,0
ORD_000008,CUST_00037,2024-01-01,Electronics,902.8,1,0,902.8,5,4,0
ORD_000009,CUST_00116,2024-01-01,Electronics,750.67,1,0,750.67,7,4,0
ORD_000010,CUST_00161,2024-01-01,Electronics,756.06,1,0,756.06,9,4,0
ORD_000011,CUST_00174,2024-01-01,Electronics,703.32,1,0,703.32,6,4,0
ORD_000012,CUST_00151,2024-01-01,Electronics,713.62,1,0,713.62,2,5,0
ORD_000013,CUST_00299,2024-01-01,Electronics,850.14,1,0,850.14,7,3,0
ORD_000014,CUST_00026,2024-01-01,Electronics,874.43,2,0,1748.85,7,4,0
ORD_000015,CUST_00264,2024-01-01,Electronics,848.47,2,0,1696.94,3,4,0
ORD_000016,CUST_00143,2024-01-01,Electronics,770.14,1,0,770.14,7,3,0
ORD_000017,CUST_00186,2024-01-01,Electronics,810.23,1,0,810.23,6,5,0
ORD_000018,CUST_00264,2024-01-01,Fashion,162.15,1,0,162.15,5,4,0
ORD_000019,CUST_00103,2024-01-01,Fashion,131.34,1,0,131.34,4,5,0
ORD_000020,CUST_00144,2024-01-01,Fashion,171.41,1,0,171.41,3,4,0
ORD_000021,CUST_00145,2024-01-01,Fashion,145.45,1,0,145.45,7,3,0
ORD_000022,CUST_00279,2024-01-01,Fashion,146.77,2,0,293.55,1,4,0
ORD_000023,CUST_00058,2024-01-01,Fashion,168.68,1,0,168.68,6,4,0
ORD_000024,CUST_00272,2024-01-01,Fashion,150.75,2,0,301.5,5,5,0
ORD_000025,CUST_00278,2024-01-01,Fashion,160.35,1,0,160.35,3,4,0
ORD_000026,CUST_00218,2024-01-01,Fashion,161.85,2,0,323.7,4,5,0
ORD_000027,CUST_00289,2024-01-01,Fashion,148.41,1,0,148.41,6,4,0
ORD_000028,CUST_00223,2024-01-01,Fashion,128.19,3,0,384.57,1,5,0
ORD_000029,CUST_00004,2024-01-01,Fashion,155.21,3,0,465.64,2,5,0
ORD_000030,CUST_00152,2024-01-01,Home & Garden,315.95,1,30,221.16,1,5,0
ORD_000031,CUST_00101,2024-01-01,Home & Garden,311.33,2,30,435.87,8,3,0
ORD_000032,CUST_00043,2024-01-01,Home & Garden,272.62,1,30,190.83,2,5,0
ORD_000033,CUST_00215,2024-01-01,Home & Garden,261.41,1,30,182.98,2,5,0
ORD_000034,CUST_00115,2024-01-01,Home & Garden,280.37,1,30,196.26,5,5,0
ORD_000035,CUST_00217,2024-01-01,Home & Garden,327.31,1,30,229.12,5,4,0
ORD_000036,CUST_00192,2024-01-01,Home & Garden,306.83,2,30,429.57,4,5,0
ORD_000037,CUST_00152,2024-01-01,Home & Garden,333.04,1,30,233.13,1,5,0
ORD_000038,CUST_00183,2024-01-01,Home & Garden,322.58,2,30,451.61,9,4,0
ORD_000039,CUST_00084,2024-01-01,Home & Garden,329.38,1,30,230.57,3,3,0
ORD_000040,CUST_00177,2024-01-01,Home & Garden,259.81,3,30,545.61,3,5,0
ORD_000041,CUST_00206,2024-01-01,Home & Garden,315.91,1,30,221.14,5,4,0
ORD_000042,CUST_00069,2024-01-01,Home & Garden,281.39,1,30,196.97,5,5,0
ORD_000043,CUST_00057,2024-01-01,Home & Garden,265.21,3,30,556.94,7,4,0
ORD_000044,CUST_00239,2024-01-01,Sports,178.58,2,30,250.01,1,5,0
ORD_000045,CUST_00253,2024-01-01,Sports,220.31,1,30,154.22,8,3,0
ORD_000046,CUST_00165,2024-01-01,Sports,183.99,1,30,128.8,1,5,0
ORD_000047,CUST_00145,2024-01-01,Sports,226.83,3,30,476.35,4,5,0
ORD_000048,CUST_00275,2024-01-01,Sports,216.63,1,30,151.64,3,4,0
ORD_000049,CUST_00039,2024-01-01,Sports,196.07,1,30,137.25,2,4,0
ORD_000050,CUST_00001,2024-01-01,Sports,210.86,1,30,147.6,9,3,0
ORD_000051,CUST_00191,2024-01-01,Sports,198.66,1,30,139.06,1,5,0
ORD_000052,CUST_00229,2024-01-01,Sports,185.18,2,30,259.25,9,4,0
ORD_000053,CUST_00047,2024-01-01,Sports,207.76,2,30,290.87,1,5,0
ORD_000054,CUST_00144,2024-01-01,Sports,214.23,3,30,449.87,8,5,0
ORD_000055,CUST_00156,2024-01-01,Sports,190.14,1,30,133.1,4,3,0
ORD_000056,CUST_00178,2024-01-01,Sports,185.96,1,30,130.17,4,4,0
ORD_000057,CUST_00192,2024-01-01,Sports,197.19,1,30,138.04,9,4,0
ORD_000058,CUST_00046,2024-01-01,Books,43.64,3,10,117.84,3,5,0
ORD_000059,CUST_00010,2024-01-01,Books,56.49,2,10,101.68,5,5,0
ORD_000060,CUST_00119,2024-01-01,Books,48.67,2,10,87.6,2,4,0
ORD_000061,CUST_00283,2024-01-01,Books,51.04,1,10,45.93,9,4,0
ORD_000062,CUST_00099,2024-01-01,Books,44.51,1,10,40.06,7,4,0
ORD_000063,CUST_00133,2024-01-01,Books,57.45,1,10,51.7,5,4,0
ORD_000064,CUST_00085,2024-01-01,Beauty,98.52,1,10,88.66,3,5,0
ORD_000065,CUST_00173,2024-01-01,Beauty,103.19,1,10,92.87,1,3,0
ORD_000066,CUST_00259,2024-01-01,Beauty,100.6,2,10,181.09,6,4,0
ORD_000067,CUST_00236,2024-01-01,Beauty,101.83,2,10,183.29,9,3,0
ORD_000068,CUST_00207,2024-01-01,Beauty,108.54,1,10,97.69,3,5,0
ORD_000069,CUST_00103,2024-01-01,Beauty,89.09,1,10,80.18,6,5,0
ORD_000070,CUST_00249,2024-01-01,Beauty,100.42,2,10,180.76,7,4,0
ORD_000071,CUST_00106,2024-01-01,Beauty,110.87,3,10,299.35,4,5,0
ORD_000072,CUST_00273,2024-01-01,Beauty,92.75,1,10,83.47,2,5,0
ORD_000073,CUST_00262,2024-01-01,Beauty,99.78,1,10,89.8,3,3,0
ORD_000074,CUST_00095,2024-01-01,Beauty,97.01,2,10,174.62,4,5,0
ORD_000075,CUST_00184,2024-01-01,Beauty,97.35,2,10,175.23,2,4,0
ORD_000076,CUST_00277,2024-01-01,Beauty,90.07,1,10,81.06,6,4,0
ORD_000077,CUST_00046,2024-01-02,Electronics,767.42,1,0,767.42,9,3,0
ORD_000078,CUST_00282,2024-01-02,Electronics,871.86,1,0,871.86,8,3,0
ORD_000079,CUST_00257,2024-01-02,Electronics,700.28,1,0,700.28,4,4,0
ORD_000080,CUST_00207,2024-01-02,Electronics,808.78,3,0,2426.35,7,5,0
ORD_000081,CUST_00154,2024-01-02,Electronics,688.8,1,0,688.8,7,4,0
ORD_000082,CUST_00003,2024-01-02,Electronics,894.85,1,0,894.85,2,5,0
ORD_000083,CUST_00015,2024-01-02,Electronics,705.17,2,0,1410.34,7,2,0
ORD_000084,CUST_00273,2024-01-02,Electronics,730.75,1,0,730.75,9,3,0
ORD_000085,CUST_00068,2024-01-02,Electronics,765.23,1,0,765.23,2,5,0
ORD_000086,CUST_00111,2024-01-02,Electronics,820.21,2,0,1640.42,8,4,0
ORD_000087,CUST_00042,2024-01-02,Electronics,748.11,1,0,748.11,2,5,0
ORD_000088,CUST_00229,2024-01-02,Electronics,904.09,1,0,904.09,5,4,0
ORD_000089,CUST_00004,2024-01-02,Electronics,884.2,1,0,884.2,8,3,0
ORD_000090,CUST_00137,2024-01-02,Electronics,699.26,1,0,699.26,8,4,0
ORD_000091,CUST_00075,2024-01-02,Electronics,887.72,2,0,1775.44,1,5,0
ORD_000092,CUST_00094,2024-01-02,Electronics,721.01,2,0,1442.03,9,3,0
ORD_000093,CUST_00026,2024-01-02,Electronics,747.19,2,0,1494.39,6,5,0
ORD_000094,CUST_00118,2024-01-02,Electronics,850.63,1,0,850.63,4,4,0
ORD_000095,CUST_00038,2024-01-02,Fashion,153.66,1,10,138.29,4,5,0
ORD_000096,CUST_00178,2024-01-02,Fashion,147.94,1,10,133.15,2,4,0
ORD_000097,CUST_00013,2024-01-02,Fashion,158.31,1,10,142.48,5,5,0
ORD_000098,CUST_00094,2024-01-02,Fashion,132.3,2,10,238.14,2,4,0
ORD_000099,CUST_00137,2024-01-02,Fashion,136.73,1,10,123.05,1,5,0
ORD_000100,CUST_00267,2024-01-02,Fashion,163.29,1,10,146.96,3,5,0
ORD_000101,CUST_00213,2024-01-02,Fashion,135.89,1,10,122.3,4,5,0
ORD_000102,CUST_00296,2024-01-02,Fashion,147.84,2,10,266.11,3,3,0
ORD_000103,CUST_00125,2024-01-02,Fashion,141.06,2,10,253.91,1,5,0
ORD_000104,CUST_00104,2024-01-02,Fashion,137.81,1,10,124.03,6,4,0
ORD_000105,CUST_00134,2024-01-02,Fashion,142.48,2,10,256.46,4,5,0
ORD_000106,CUST_00231,2024-01-02,Fashion,153.29,3,10,413.89,9,4,0
ORD_000107,CUST_00097,2024-01-02,Fashion,159.31,2,10,286.77,1,5,0
ORD_000108,CUST_00010,2024-01-02,Fashion,149.73,2,10,269.51,6,4,0
ORD_000109,CUST_00294,2024-01-02,Fashion,151.64,1,10,136.48,8,4,0
ORD_000110,CUST_00136,2024-01-02,Fashion,134.25,1,10,120.82,2,5,0
ORD_000111,CUST_00282,2024-01-02,Home & Garden,277.66,1,0,277.66,8,5,0
ORD_000112,CUST_00038,2024-01-02,Home & Garden,275.46,1,0,275.46,8,5,0
ORD_000113,CUST_00111,2024-01-02,Home & Garden,320.35,1,0,320.35,4,4,0
ORD_000114,CUST_00133,2024-01-02,Home & Garden,338.02,2,0,676.05,1,5,0
ORD_000115,CUST_00051,2024-01-02,Home & Garden,321.28,3,0,963.84,6,5,0
ORD_000116,CUST_00267,2024-01-02,Home & Garden,295.58,1,0,295.58,5,4,0
ORD_000117,CUST_00001,2024-01-02,Home & Garden,333.29,1,0,333.29,8,3,0
ORD_000118,CUST_00149,2024-01-02,Home & Garden,289.14,2,0,578.28,4,4,0
ORD_000119,CUST_00291,2024-01-02,Home & Garden,290.84,1,0,290.84,6,5,0
ORD_000120,CUST_00210,2024-01-02,Home & Garden,298.28,3,0,894.83,3,5,0
ORD_000121,CUST_00180,2024-01-02,Home & Garden,292.7,3,0,878.11,1,4,0
ORD_000122,CUST_00285,2024-01-02,Home & Garden,307.25,1,0,307.25,2,4,0
ORD_000123,CUST_00177,2024-01-02,Sports,203.44,2,30,284.81,8,5,0
ORD_000124,CUST_00141,2024-01-02,Sports,193.84,1,30,135.69,8,4,0
ORD_000125,CUST_00211,2024-01-02,Sports,190.96,1,30,133.67,1,5,0
ORD_000126,CUST_00019,2024-01-02,Sports,173.94,2,30,243.52,2,5,0
ORD_000127,CUST_00194,2024-01-02,Sports,202.07,1,30,141.45,6,4,0
ORD_000128,CUST_00264,2024-01-02,Sports,221.71,3,30,465.58,3,5,0
ORD_000129,CUST_00162,2024-01-02,Sports,194.52,1,30,136.17,2,5,0
ORD_000130,CUST_00247,2024-01-02,Sports,185.23,1,30,129.66,8,4,0
ORD_000131,CUST_00054,2024-01-02,Sports,190.36,1,30,133.25,3,4,0
ORD_000132,CUST_00291,2024-01-02,Sports,184.59,2,30,258.43,8,4,0
ORD_000133,CUST_00165,2024-01-02,Sports,178.46,1,30,124.93,7,3,0
ORD_000134,CUST_00002,2024-01-02,Sports,224.64,1,30,157.25,2,5,0
ORD_000135,CUST_00226,2024-01-02,Books,55.42,1,0,55.42,6,3,0
ORD_000136,CUST_00280,2024-01-02,Books,44.21,1,0,44.21,7,3,0
ORD_000137,CUST_00115,2024-01-02,Books,50.19,2,0,100.37,2,5,0
ORD_000138,CUST_00237,2024-01-02,Books,48.54,1,0,48.54,6,3,0
ORD_000139,CUST_00215,2024-01-02,Books,52.75,2,0,105.5,5,4,0
ORD_000140,CUST_00042,2024-01-02,Books,51.15,1,0,51.15,1,5,0
ORD_000141,CUST_00076,2024-01-02,Books,45.6,1,0,45.6,5,2,0
ORD_000142,CUST_00098,2024-01-02,Beauty,103.02,2,0,206.03,7,3,0
ORD_000143,CUST_00173,2024-01-02,Beauty,110.14,1,0,110.14,2,5,0
ORD_000144,CUST_00181,2024-01-02,Beauty,103.09,1,0,103.09,5,4,0
ORD_000145,CUST_00267,2024-01-02,Beauty,93.66,1,0,93.66,1,5,0
ORD_000146,CUST_00098,2024-01-02,Beauty,96.9,3,0,290.7,6,5,0
ORD_000147,CUST_00069,2024-01-02,Beauty,99.51,1,0,99.51,4,4,0
ORD_000148,CUST_00201,2024-01-02,Beauty,108.13,1,0,108.13,9,3,0
ORD_000149,CUST_00296,2024-01-02,Beauty,106.85,1,0,106.85,8,2,0
